Time,Source,URI,"Found on URI","Found on level",Tags,Message
"2024-06-20 15:18:03.348552","Terminal42\Escargot\Escargot",http://contao5.test/search,http://contao5.test/contact,2,,"Exception of type ""Symfony\Component\HttpClient\Exception\ClientException"" occurred: HTTP/1.1 404 Not Found returned for ""http://contao5.test/search""."
"2024-06-20 15:18:03.348815","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/search,http://contao5.test/contact,2,,"Broken link! HTTP Status Code: 404."
"2024-06-20 15:18:03.353546","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/files/images/galerie/pexels-pixabay-315987.jpg,http://contao5.test/kitchen-sink,2,lightbox,"Did not index because the response did not contain a ""text/html"" Content-Type header."
"2024-06-20 15:18:03.354906","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/kitchen-sink?_hash=hI6kI6bNTY5TZYyqMiKHytrKwVEshHXLYW%2B4Lyx14Nw%3D&ctx=a%3A1%3A%7Bs%3A2%3A%22id%22%3Bi%3A5668%3B%7D&d=attachment&f=Placeholder-PDF.pdf&p=downloads%2FPlaceholder-PDF.pdf,http://contao5.test/kitchen-sink,2,no-txt-html-type,"Do not request because when the crawl URI was found, the ""type"" attribute was present and did not contain ""text/html""."
"2024-06-20 15:18:03.355474","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/kitchen-sink?_hash=F%2BmVlP5pIOgdtlszt6%2BYiQjx9pmSevxH0IsFO8kpRoY%3D&ctx=a%3A1%3A%7Bs%3A2%3A%22id%22%3Bi%3A5668%3B%7D&d=attachment&f=Placeholder-PDF_1.pdf&p=downloads%2FPlaceholder-PDF_1.pdf,http://contao5.test/kitchen-sink,2,no-txt-html-type,"Do not request because when the crawl URI was found, the ""type"" attribute was present and did not contain ""text/html""."
"2024-06-20 15:18:03.584901","Terminal42\Escargot\Escargot",http://contao5.test/test@test.com,http://contao5.test/kitchen-sink,2,icon,"Exception of type ""Symfony\Component\HttpClient\Exception\ClientException"" occurred: HTTP/1.1 404 Not Found returned for ""http://contao5.test/test@test.com""."
"2024-06-20 15:18:03.585095","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/test@test.com,http://contao5.test/kitchen-sink,2,icon,"Broken link! HTTP Status Code: 404."
"2024-06-20 15:18:08.712498","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/files/client/fonts/demo.html,http://contao5.test/kitchen-sink,2,,"Forwarded to the search indexer. Did not index because of the following reason: No JSON-LD found."
"2024-06-20 15:18:08.817616","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualite/fully-responsive-retina-ready-and-made,http://contao5.test/actualites?page_n199=2,3,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:09.502678","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://icomoon.io/app,http://contao5.test/files/client/fonts/demo.html,3,,"Did not index because it was not part of the base URI collection."
